,Rede1,Rede2,Confirmação rede 1,Confirmação rede 2,Resultado
142,Folhas arredondadas,Mangueira,Y,Y,Árvore de outra espécie
143,nan,nan,,,Nenhuma identificação realizada
144,nan,nan,,,Nenhuma identificação realizada
145,nan,Poste,,PC,Nenhuma identificação realizada
146,Postes,Mangueira,PC,N,Mangueira
147,nan,Mangueira,,P,Árvore de outra espécie
148,nan,nan,,,Nenhuma identificação realizada
149,Postes,Mangueira,PC,N,Mangueira
150,nan,nan,,,Nenhuma identificação realizada
151,nan,Mangueira,,P,Árvore de outra espécie
152,nan,Amendoeira,,Y,Árvore de outra espécie
153,nan,Palmeira,,Y,Palmeira
154,Postes,Mangueira,PC,P,Mangueira
155,Folhas lineares,Mangueira,P,Y,Mangueira
156,nan,Poste,,PC,Nenhuma identificação realizada
157,Folhas arredondadas,Mangueira,P,N,Árvore de outra espécie
158,nan,Mangueira,,P,Árvore de outra espécie
159,Postes,Mangueira,PC,N,Mangueira
160,nan,Mangueira,,P,Árvore de outra espécie
161,nan,Poste,,PC,Nenhuma identificação realizada
162,nan,Poste,,N,Nenhuma identificação realizada
163,Outras,Cajueiro,O,P,Árvore de outra espécie
164,Palmeira,Palmeira,Y,Y,Palmeira
165,Outras,Mangueira,O,P,Árvore de outra espécie
166,Folhas arredondadas,Palmeira,Y,N,Nenhuma identificação realizada
167,Folhas arredondadas,Palmeira,P,N,Nenhuma identificação realizada
168,Postes,Amendoeira,PC,P,Amendoeira
169,nan,Amendoeira,,N,Árvore de outra espécie
170,Postes,Mangueira,PC,N,Mangueira
171,Folhas arredondadas,Mangueira,N,P,Árvore de outra espécie
172,nan,Palmeira,,Y,Palmeira
173,nan,nan,,,Nenhuma identificação realizada
174,nan,Palmeira,,PM,Palmeira
175,nan,nan,,,Nenhuma identificação realizada
176,nan,nan,,,Nenhuma identificação realizada
177,Postes,Palmeira,PC,Y,Nenhuma identificação realizada
178,Postes,Palmeira,PC,PM,Nenhuma identificação realizada
179,nan,Palmeira,,N,Palmeira
180,nan,Palmeira,,N,Palmeira
181,nan,nan,,,Nenhuma identificação realizada
182,nan,Poste,,PC,Nenhuma identificação realizada
183,nan,Palmeira,,N,Palmeira
184,nan,nan,,,Nenhuma identificação realizada
185,nan,Palmeira,,N,Palmeira
186,Outras,Amendoeira,O,P,Árvore de outra espécie
187,nan,Amendoeira,,P,Árvore de outra espécie
188,nan,Palmeira,,PM,Palmeira
189,Outras,Palmeira,O,N,Nenhuma identificação realizada
190,nan,Poste,,PC,Nenhuma identificação realizada
191,Folhas lineares,Cajueiro,P,P,Árvore de outra espécie
192,Folhas lineares,Palmeira,N,PM,Nenhuma identificação realizada
193,nan,Palmeira,,Y,Palmeira
194,nan,Amendoeira,,P,Árvore de outra espécie
195,nan,Palmeira,,PM,Palmeira
196,nan,nan,,,Nenhuma identificação realizada
197,nan,Amendoeira,,P,Árvore de outra espécie
198,nan,Mangueira,,N,Árvore de outra espécie
199,nan,Palmeira,,PM,Palmeira
200,nan,Mangueira,,P,Árvore de outra espécie
201,nan,Poste,,PC,Nenhuma identificação realizada
202,nan,Mangueira,,P,Árvore de outra espécie
203,nan,Poste,,PC,Nenhuma identificação realizada
204,nan,Mangueira,,N,Árvore de outra espécie
205,nan,Palmeira,,PM,Palmeira
206,nan,Palmeira,,Y,Palmeira
207,nan,Mangueira,,PM,Árvore de outra espécie
208,nan,nan,,,Nenhuma identificação realizada
209,Folhas lineares,Mangueira,P,P,Mangueira
210,Folhas lineares,Palmeira,Y,N,Nenhuma identificação realizada
211,Postes,Mangueira,PC,P,Mangueira
212,nan,Poste,,PC,Nenhuma identificação realizada
213,nan,Palmeira,,N,Palmeira
214,nan,Palmeira,,N,Palmeira
215,Folhas arredondadas,Amendoeira,P,P,Amendoeira
216,nan,Mangueira,,P,Árvore de outra espécie
217,nan,Poste,,PC,Nenhuma identificação realizada
218,nan,nan,,,Nenhuma identificação realizada
219,Folhas lineares,Palmeira,Y,N,Nenhuma identificação realizada
220,nan,Palmeira,,Y,Palmeira
221,nan,nan,,,Nenhuma identificação realizada
222,nan,Mangueira,,P,Árvore de outra espécie
223,nan,Poste,,PC,Nenhuma identificação realizada
224,nan,Mangueira,,N,Árvore de outra espécie
225,Folhas lineares,Mangueira,P,P,Mangueira
226,Outras,Palmeira,O,N,Nenhuma identificação realizada
227,nan,nan,,,Nenhuma identificação realizada
228,nan,Palmeira,,Y,Palmeira
229,nan,Palmeira,,N,Palmeira
230,nan,Poste,,PC,Nenhuma identificação realizada
231,nan,Mangueira,,P,Árvore de outra espécie
232,nan,Mangueira,,N,Árvore de outra espécie
233,Folhas lineares,Palmeira,Y,N,Nenhuma identificação realizada
234,nan,Palmeira,,N,Palmeira
235,Palmeira,Palmeira,Y,Y,Palmeira
236,nan,Palmeira,,PM,Palmeira
237,nan,Amendoeira,,P,Árvore de outra espécie
238,nan,Mangueira,,P,Árvore de outra espécie
239,nan,Poste,,PC,Nenhuma identificação realizada
240,nan,nan,,,Nenhuma identificação realizada
241,nan,Palmeira,,PM,Palmeira
242,Folhas arredondadas,Palmeira,P,N,Nenhuma identificação realizada
243,Postes,Mangueira,PC,P,Mangueira
244,nan,Mangueira,,N,Árvore de outra espécie
245,Postes,Amendoeira,PC,P,Amendoeira
246,nan,Amendoeira,,P,Árvore de outra espécie
247,nan,Amendoeira,,N,Árvore de outra espécie
248,nan,Mangueira,,N,Árvore de outra espécie
249,nan,Poste,,PC,Nenhuma identificação realizada
250,nan,Palmeira,,PM,Palmeira
251,nan,Palmeira,,PM,Palmeira
252,nan,nan,,,Nenhuma identificação realizada
253,nan,Poste,,PC,Nenhuma identificação realizada
254,nan,nan,,,Nenhuma identificação realizada
255,Postes,Palmeira,PC,N,Nenhuma identificação realizada
256,Palmeira,Palmeira,Y,Y,Palmeira
257,Folhas arredondadas,Amendoeira,P,P,Amendoeira
258,nan,Poste,,PC,Nenhuma identificação realizada
259,nan,Poste,,PC,Nenhuma identificação realizada
260,Postes,Mangueira,PC,N,Mangueira
261,nan,Mangueira,,N,Árvore de outra espécie
262,nan,Palmeira,,N,Palmeira
263,nan,nan,,,Nenhuma identificação realizada
264,nan,Poste,,PC,Nenhuma identificação realizada
265,nan,Poste,,PC,Nenhuma identificação realizada
266,nan,Palmeira,,N,Palmeira
267,Postes,Palmeira,PC,PM,Nenhuma identificação realizada
268,Postes,Amendoeira,PC,P,Amendoeira
269,nan,nan,,,Nenhuma identificação realizada
270,nan,nan,,,Nenhuma identificação realizada
271,Postes,Cajueiro,PC,N,Cajueiro
272,Postes,Poste,PC,PC,Nenhuma identificação realizada
273,Palmeira,Palmeira,Y,Y,Palmeira
274,Postes,Mangueira,PC,P,Mangueira
275,nan,nan,,,Nenhuma identificação realizada
276,Postes,Palmeira,PC,N,Nenhuma identificação realizada
277,Postes,Palmeira,PC,N,Nenhuma identificação realizada
278,nan,Palmeira,,N,Palmeira
279,nan,nan,,,Nenhuma identificação realizada
280,nan,Amendoeira,,P,Árvore de outra espécie
281,Postes,Amendoeira,PC,P,Amendoeira
282,nan,Palmeira,,N,Palmeira
283,nan,Mangueira,,N,Árvore de outra espécie
284,Palmeira,Palmeira,Y,Y,Palmeira
285,nan,nan,,,Nenhuma identificação realizada
286,nan,nan,,,Nenhuma identificação realizada
287,Postes,Palmeira,PC,Y,Nenhuma identificação realizada
288,nan,Mangueira,,N,Árvore de outra espécie
289,Folhas arredondadas,Mangueira,Y,P,Árvore de outra espécie
290,nan,Palmeira,,PM,Palmeira
291,Postes,Amendoeira,PC,N,Amendoeira
292,nan,Palmeira,,N,Palmeira
293,nan,Mangueira,,P,Árvore de outra espécie
294,nan,Palmeira,,Y,Palmeira
295,nan,Mangueira,,N,Árvore de outra espécie
296,nan,nan,,,Nenhuma identificação realizada
297,Postes,Palmeira,PC,N,Nenhuma identificação realizada
298,nan,Mangueira,,P,Árvore de outra espécie
299,nan,Mangueira,,P,Árvore de outra espécie
300,Postes,Mangueira,PC,N,Mangueira
301,Folhas arredondadas,Amendoeira,P,P,Amendoeira
302,Postes,Mangueira,PC,N,Mangueira
303,nan,nan,,,Nenhuma identificação realizada
304,nan,Amendoeira,,N,Árvore de outra espécie
305,nan,Poste,,PC,Nenhuma identificação realizada
306,nan,nan,,,Nenhuma identificação realizada
307,nan,nan,,,Nenhuma identificação realizada
308,Postes,Palmeira,PC,PM,Nenhuma identificação realizada
309,nan,Mangueira,,N,Árvore de outra espécie
310,Folhas arredondadas,Amendoeira,Y,P,Amendoeira
311,nan,Mangueira,,N,Árvore de outra espécie
312,Folhas arredondadas,Amendoeira,P,P,Amendoeira
313,nan,Poste,,PC,Nenhuma identificação realizada
314,Folhas lineares,Palmeira,Y,N,Nenhuma identificação realizada
315,nan,Palmeira,,PM,Palmeira
316,nan,Poste,,PC,Nenhuma identificação realizada
317,Palmeira,Palmeira,PM,PM,Palmeira
318,Postes,Palmeira,PC,PM,Nenhuma identificação realizada
319,nan,nan,,,Nenhuma identificação realizada
320,nan,nan,,,Nenhuma identificação realizada
321,Postes,Amendoeira,PC,P,Amendoeira
322,Postes,Mangueira,PC,P,Mangueira
323,nan,nan,,,Nenhuma identificação realizada
324,nan,nan,,,Nenhuma identificação realizada
325,Postes,Palmeira,PC,N,Nenhuma identificação realizada
326,nan,Amendoeira,,P,Árvore de outra espécie
327,Folhas arredondadas,Amendoeira,P,P,Amendoeira
328,nan,nan,,,Nenhuma identificação realizada
329,nan,Poste,,PC,Nenhuma identificação realizada
330,nan,Palmeira,,N,Palmeira
331,nan,Poste,,PC,Nenhuma identificação realizada
332,nan,nan,,,Nenhuma identificação realizada
333,nan,Poste,,PC,Nenhuma identificação realizada
334,nan,nan,,,Nenhuma identificação realizada
335,nan,Poste,,PC,Nenhuma identificação realizada
336,nan,Poste,,PC,Nenhuma identificação realizada
337,Postes,Cajueiro,PC,N,Cajueiro
338,Postes,Palmeira,PC,N,Nenhuma identificação realizada
339,Postes,Palmeira,PC,N,Nenhuma identificação realizada
340,Folhas arredondadas,Mangueira,P,N,Árvore de outra espécie
341,nan,Poste,,PC,Nenhuma identificação realizada
342,Folhas lineares,Amendoeira,P,P,Árvore de outra espécie
343,Postes,Poste,PC,PC,Nenhuma identificação realizada
344,nan,Poste,,PC,Nenhuma identificação realizada
345,nan,Palmeira,,N,Palmeira
346,nan,Palmeira,,N,Palmeira
347,nan,Mangueira,,P,Árvore de outra espécie
348,Folhas arredondadas,Palmeira,P,PM,Nenhuma identificação realizada
349,nan,Mangueira,,P,Árvore de outra espécie
350,nan,nan,,,Nenhuma identificação realizada
351,Folhas arredondadas,Cajueiro,P,P,Cajueiro
352,Postes,Mangueira,PC,N,Mangueira
353,nan,Amendoeira,,N,Árvore de outra espécie
354,nan,Palmeira,,N,Palmeira
355,nan,Mangueira,,P,Árvore de outra espécie
356,nan,nan,,,Nenhuma identificação realizada
357,nan,nan,,,Nenhuma identificação realizada
358,nan,nan,,,Nenhuma identificação realizada
359,nan,Palmeira,,N,Palmeira
360,nan,Amendoeira,,N,Árvore de outra espécie
361,nan,Poste,,PC,Nenhuma identificação realizada
362,nan,Amendoeira,,N,Árvore de outra espécie
363,nan,Mangueira,,Y,Árvore de outra espécie
364,nan,Mangueira,,Y[3~,Árvore de outra espécie
365,Postes,Palmeira,PC,N,Nenhuma identificação realizada
366,Palmeira,Palmeira,Y,PM,Palmeira
367,Folhas lineares,Palmeira,Y,N,Nenhuma identificação realizada
368,Postes,Mangueira,PC,Y,Mangueira
369,Palmeira,Palmeira,Y,PM,Palmeira
370,nan,Mangueira,,N,Árvore de outra espécie
371,Postes,Mangueira,PC,N,Mangueira
372,nan,nan,,,Nenhuma identificação realizada
373,nan,nan,,,Nenhuma identificação realizada
374,Postes,Mangueira,PC,P,Mangueira
375,nan,Poste,,PC,Nenhuma identificação realizada
376,Postes,Mangueira,PC,P,Mangueira
377,Folhas arredondadas,Palmeira,Y,PM,Nenhuma identificação realizada
378,Postes,Palmeira,PC,N,Nenhuma identificação realizada
379,nan,Mangueira,,N,Árvore de outra espécie
380,Postes,Poste,PC,PC,Nenhuma identificação realizada
381,Outras,Poste,O,N,Nenhuma identificação realizada
382,nan,Mangueira,,P,Árvore de outra espécie
383,nan,Palmeira,,PM,Palmeira
384,nan,Palmeira,,N,Palmeira
385,nan,Amendoeira,,P,Árvore de outra espécie
386,nan,Amendoeira,,p,Árvore de outra espécie
387,Outras,Palmeira,O,Y,Nenhuma identificação realizada
388,Outras,Palmeira,O,PC,Nenhuma identificação realizada
389,Postes,Amendoeira,PC,N,Amendoeira
390,nan,Mangueira,,N,Árvore de outra espécie
391,nan,Palmeira,,N,Palmeira
392,nan,Palmeira,,PM,Palmeira
393,nan,nan,,,Nenhuma identificação realizada
394,nan,Amendoeira,,P,Árvore de outra espécie
395,nan,Palmeira,,PM,Palmeira
396,nan,Poste,,N,Nenhuma identificação realizada
397,Postes,Palmeira,PC,N,Nenhuma identificação realizada
398,Postes,Palmeira,PC,PM,Nenhuma identificação realizada
399,Postes,Palmeira,PC,N,Nenhuma identificação realizada
400,nan,Mangueira,,N,Árvore de outra espécie
401,nan,Poste,,PC,Nenhuma identificação realizada
402,Outras,Amendoeira,O,P,Árvore de outra espécie
403,Folhas arredondadas,Amendoeira,P,P,Amendoeira
404,nan,Palmeira,,N,Palmeira
405,nan,nan,,,Nenhuma identificação realizada
406,nan,Poste,,PC,Nenhuma identificação realizada
407,Folhas arredondadas,Amendoeira,P,P,Amendoeira
408,Folhas arredondadas,Mangueira,P,N,Árvore de outra espécie
409,nan,Mangueira,,N,Árvore de outra espécie
410,Folhas lineares,Mangueira,N,P,Mangueira
411,Folhas lineares,Amendoeira,Y,Y,Árvore de outra espécie
412,nan,Palmeira,,PM,Palmeira
413,nan,Palmeira,,N,Palmeira
414,nan,Palmeira,,Y,Palmeira
415,nan,Poste,,PC,Nenhuma identificação realizada
416,nan,Amendoeira,,P,Árvore de outra espécie
417,nan,Palmeira,,N,Palmeira
418,nan,Poste,,PC,Nenhuma identificação realizada
419,Postes,Amendoeira,PC,N,Amendoeira
420,Outras,Palmeira,O,PM,Nenhuma identificação realizada
421,Postes,Mangueira,PC,N,Mangueira
422,nan,Mangueira,,P,Árvore de outra espécie
423,nan,Palmeira,,Y,Palmeira
424,nan,nan,,,Nenhuma identificação realizada
425,nan,Poste,,PC,Nenhuma identificação realizada
426,Postes,Palmeira,PC,Y,Nenhuma identificação realizada
427,nan,Poste,,PC,Nenhuma identificação realizada
428,nan,Mangueira,,N,Árvore de outra espécie
429,Folhas arredondadas,Amendoeira,P,Y,Amendoeira
430,nan,Mangueira,,N,Árvore de outra espécie
431,nan,Mangueira,,N,Árvore de outra espécie
432,Palmeira,Mangueira,Y,N,Palmeira
433,nan,Mangueira,,P,Árvore de outra espécie
434,nan,Palmeira,,Y,Palmeira
435,nan,Poste,,PC,Nenhuma identificação realizada
436,nan,nan,,,Nenhuma identificação realizada
437,Postes,Palmeira,PC,PM,Nenhuma identificação realizada
438,nan,Mangueira,,N,Árvore de outra espécie
439,Folhas arredondadas,Mangueira,P,P,Árvore de outra espécie
440,nan,Amendoeira,,N,Árvore de outra espécie
441,Postes,Palmeira,PC,Y,Nenhuma identificação realizada
442,nan,Palmeira,,Y,Palmeira
443,nan,Poste,,PC,Nenhuma identificação realizada
444,Folhas arredondadas,Mangueira,P,P,Árvore de outra espécie
445,Postes,Poste,PC,PC,Nenhuma identificação realizada
446,Postes,Poste,PC,PC,Nenhuma identificação realizada
447,nan,Palmeira,,N,Palmeira
448,Postes,Poste,PC,PC,Nenhuma identificação realizada
449,Postes,Amendoeira,PC,N,Amendoeira
450,nan,nan,,,Nenhuma identificação realizada
451,Postes,Amendoeira,PC,P,Amendoeira
452,nan,Amendoeira,,P,Árvore de outra espécie
453,Outras,Palmeira,O,Y,Nenhuma identificação realizada
454,nan,nan,,,Nenhuma identificação realizada
455,nan,Amendoeira,,P,Árvore de outra espécie
456,nan,nan,,,Nenhuma identificação realizada
457,nan,Poste,,PC,Nenhuma identificação realizada
458,nan,Mangueira,,P,Árvore de outra espécie
459,nan,Palmeira,,N,Palmeira
460,Postes,Palmeira,PC,N,Nenhuma identificação realizada
461,nan,Mangueira,,N,Árvore de outra espécie
462,nan,nan,,,Nenhuma identificação realizada
463,nan,Poste,,PC,Nenhuma identificação realizada
464,nan,Amendoeira,,P,Árvore de outra espécie
465,nan,Palmeira,,PM,Palmeira
466,Folhas arredondadas,Mangueira,N,N,Árvore de outra espécie
467,nan,Amendoeira,,P,Árvore de outra espécie
468,nan,Mangueira,,N,Árvore de outra espécie
469,Postes,Mangueira,PC,N,Mangueira
470,Outras,Mangueira,O,N,Árvore de outra espécie
471,Postes,Poste,PC,PC,Nenhuma identificação realizada
472,nan,Poste,,PC,Nenhuma identificação realizada
473,nan,Mangueira,,N,Árvore de outra espécie
474,nan,Mangueira,,Y,Árvore de outra espécie
475,Postes,Palmeira,PC,PM,Nenhuma identificação realizada
476,nan,Poste,,PC,Nenhuma identificação realizada
477,nan,Palmeira,,N,Palmeira
478,nan,Palmeira,,N,Palmeira
479,nan,Poste,,PC,Nenhuma identificação realizada
480,nan,Mangueira,,N,Árvore de outra espécie
481,nan,Palmeira,,N,Palmeira
482,nan,Mangueira,,N,Árvore de outra espécie
483,Folhas lineares,Palmeira,Y,N,Nenhuma identificação realizada
484,Folhas arredondadas,Amendoeira,Y,P,Amendoeira
485,Postes,Amendoeira,PC,N,Amendoeira
486,nan,Palmeira,,N,Palmeira
487,nan,Mangueira,,N,Árvore de outra espécie
488,Folhas arredondadas,Palmeira,P,N,Nenhuma identificação realizada
489,nan,Mangueira,,P,Árvore de outra espécie
490,Postes,Poste,PC,PC,Nenhuma identificação realizada
491,Palmeira,Palmeira,Y,Y,Palmeira
492,Folhas arredondadas,Palmeira,P,M,Nenhuma identificação realizada
493,Palmeira,Poste,Y,PC,Palmeira
494,nan,Amendoeira,,N,Árvore de outra espécie
495,nan,Mangueira,,N,Árvore de outra espécie
496,nan,Mangueira,,P,Árvore de outra espécie
497,Outras,Mangueira,O,N,Árvore de outra espécie
498,nan,Mangueira,,N,Árvore de outra espécie
499,nan,Poste,,PC,Nenhuma identificação realizada
500,nan,Palmeira,,"N,",Palmeira
501,nan,Palmeira,,N,Palmeira
502,nan,nan,,,Nenhuma identificação realizada
503,Outras,Amendoeira,O,P,Árvore de outra espécie
504,nan,Palmeira,,PM,Palmeira
505,nan,Amendoeira,,N,Árvore de outra espécie
506,Postes,Mangueira,PC,N,Mangueira
507,nan,Amendoeira,,N,Árvore de outra espécie
508,nan,Mangueira,,N,Árvore de outra espécie
509,nan,Amendoeira,,P,Árvore de outra espécie
510,nan,Amendoeira,,P,Árvore de outra espécie
511,Folhas arredondadas,Palmeira,N,PM,Nenhuma identificação realizada
512,nan,Mangueira,,N,Árvore de outra espécie
513,nan,Poste,,PC,Nenhuma identificação realizada
514,Folhas arredondadas,Cajueiro,P,N,Cajueiro
515,Postes,Mangueira,PC,N,Mangueira
516,nan,nan,,,Nenhuma identificação realizada
517,nan,Palmeira,,Pm,Palmeira
518,nan,Poste,,PC,Nenhuma identificação realizada
519,Folhas arredondadas,Palmeira,N,N,Nenhuma identificação realizada
520,nan,nan,,,Nenhuma identificação realizada
521,nan,Amendoeira,,N,Árvore de outra espécie
522,Folhas arredondadas,Mangueira,P,P,Árvore de outra espécie
523,Folhas arredondadas,Mangueira,N,N,Árvore de outra espécie
524,nan,nan,,,Nenhuma identificação realizada
525,Postes,Mangueira,PC,N,Mangueira
526,nan,Poste,,N,Nenhuma identificação realizada
527,nan,Palmeira,,Pm,Palmeira
528,Folhas arredondadas,Amendoeira,N,N,Amendoeira
529,nan,nan,,,Nenhuma identificação realizada
530,Outras,Mangueira,O,N,Árvore de outra espécie
531,nan,nan,,,Nenhuma identificação realizada
532,Folhas arredondadas,Amendoeira,Y,P,Amendoeira
533,Postes,Palmeira,PC,PM,Nenhuma identificação realizada
534,nan,Palmeira,,N,Palmeira
535,nan,Poste,,N,Nenhuma identificação realizada
536,nan,Mangueira,,N,Árvore de outra espécie
537,nan,Amendoeira,,N,Árvore de outra espécie
538,Postes,Poste,PC,PC,Nenhuma identificação realizada
539,nan,Mangueira,,P,Árvore de outra espécie
540,nan,nan,,,Nenhuma identificação realizada
541,nan,Amendoeira,,N,Árvore de outra espécie
542,nan,Palmeira,,N,Palmeira
543,Folhas arredondadas,Amendoeira,Y,P,Amendoeira
544,Postes,Palmeira,PC,Y,Nenhuma identificação realizada
545,nan,Poste,,PC,Nenhuma identificação realizada
546,Folhas lineares,Palmeira,Y,N,Nenhuma identificação realizada
547,Postes,Mangueira,PC,N,Mangueira
548,nan,nan,,,Nenhuma identificação realizada
549,nan,Poste,,PC,Nenhuma identificação realizada
550,nan,nan,,,Nenhuma identificação realizada
551,Postes,Mangueira,PC,N,Mangueira
552,Postes,Amendoeira,PC,N,Amendoeira
553,nan,nan,,,Nenhuma identificação realizada
554,nan,Mangueira,,N,Árvore de outra espécie
555,Postes,Mangueira,PC,N,Mangueira
556,nan,Amendoeira,,P,Árvore de outra espécie
557,nan,Mangueira,,P,Árvore de outra espécie
558,nan,Palmeira,,N,Palmeira
559,Folhas arredondadas,Palmeira,P,N,Nenhuma identificação realizada
560,nan,nan,,,Nenhuma identificação realizada
561,nan,nan,,,Nenhuma identificação realizada
562,nan,Mangueira,,N,Árvore de outra espécie
563,nan,Amendoeira,,P,Árvore de outra espécie
564,Postes,Mangueira,PC,P,Mangueira
565,Folhas lineares,Palmeira,Y,N,Nenhuma identificação realizada
566,nan,Mangueira,,N,Árvore de outra espécie
567,nan,Mangueira,,N,Árvore de outra espécie
568,nan,Palmeira,,PM,Palmeira
569,nan,Mangueira,,Y,Árvore de outra espécie
570,nan,nan,,,Nenhuma identificação realizada
571,nan,Amendoeira,,N,Árvore de outra espécie
572,Palmeira,Palmeira,Y,Y,Palmeira
573,nan,nan,,,Nenhuma identificação realizada
574,nan,Palmeira,,PM,Palmeira
575,nan,Poste,,PC,Nenhuma identificação realizada
576,nan,Palmeira,,P,Palmeira
577,nan,Poste,,PC,Nenhuma identificação realizada
578,nan,nan,,,Nenhuma identificação realizada
579,nan,Amendoeira,,P,Árvore de outra espécie
580,nan,Palmeira,,Y,Palmeira
581,Folhas lineares,Amendoeira,P,Y,Árvore de outra espécie
582,Folhas lineares,Mangueira,Y,Y,Mangueira
583,Postes,Mangueira,PC,P,Mangueira
584,Folhas arredondadas,Palmeira,Y,Pm,Nenhuma identificação realizada
585,nan,Mangueira,,P,Árvore de outra espécie
586,nan,Mangueira,,N,Árvore de outra espécie
587,nan,Poste,,PC,Nenhuma identificação realizada
588,Folhas lineares,Amendoeira,Y,P,Árvore de outra espécie
589,Folhas arredondadas,Amendoeira,P,P,Amendoeira
590,nan,Palmeira,,N,Palmeira
591,Postes,Mangueira,PC,P,Mangueira
592,nan,nan,,,Nenhuma identificação realizada
593,nan,Palmeira,,N,Palmeira
594,Postes,Palmeira,PC,Y,Nenhuma identificação realizada
595,Folhas arredondadas,Mangueira,P,Y,Árvore de outra espécie
596,Folhas arredondadas,Mangueira,P,,Árvore de outra espécie
597,Folhas lineares,Palmeira,Y,N,Nenhuma identificação realizada
598,Folhas arredondadas,Mangueira,P,Y,Árvore de outra espécie
599,nan,Mangueira,,N,Árvore de outra espécie
600,Postes,Palmeira,PC,N,Nenhuma identificação realizada
601,Postes,Palmeira,PC,Y,Nenhuma identificação realizada
602,nan,Mangueira,,Y,Árvore de outra espécie
603,Postes,Palmeira,PC,N,Nenhuma identificação realizada
604,Folhas arredondadas,Mangueira,P,P,Árvore de outra espécie
605,Postes,Palmeira,PC,N,Nenhuma identificação realizada
606,Postes,Mangueira,P,N,Mangueira
607,Postes,Poste,PC,PC,Nenhuma identificação realizada
608,Folhas arredondadas,Mangueira,P,N,Árvore de outra espécie
609,nan,Palmeira,,PM,Palmeira
610,nan,Mangueira,,P,Árvore de outra espécie
611,Folhas lineares,Mangueira,Y,P,Mangueira
612,Outras,Mangueira,O,P,Árvore de outra espécie
613,Outras,Poste,O,PC,Nenhuma identificação realizada
614,nan,nan,,,Nenhuma identificação realizada
615,nan,Mangueira,,N,Árvore de outra espécie
616,Postes,Palmeira,PC,N,Nenhuma identificação realizada
617,nan,Poste,,PC,Nenhuma identificação realizada
618,nan,Palmeira,,PM,Palmeira
619,Postes,Palmeira,PC,Y,Nenhuma identificação realizada
620,nan,Palmeira,,N,Palmeira
621,Postes,Mangueira,PC,P,Mangueira
622,nan,Mangueira,,P,Árvore de outra espécie
623,nan,Palmeira,,Y,Palmeira
624,Postes,Palmeira,PC,Y,Nenhuma identificação realizada
625,nan,Poste,,PC,Nenhuma identificação realizada
626,Outras,Mangueira,O,N,Árvore de outra espécie
627,Postes,Mangueira,PC,P,Mangueira
628,nan,Palmeira,,N,Palmeira
629,nan,Palmeira,,N,Palmeira
630,nan,Palmeira,,PM,Palmeira
631,Folhas arredondadas,Mangueira,Y,Y,Árvore de outra espécie
632,nan,nan,,,Nenhuma identificação realizada
633,nan,Poste,,PC,Nenhuma identificação realizada
634,Folhas arredondadas,Palmeira,P,PM,Nenhuma identificação realizada
635,Postes,Palmeira,PC,Y,Nenhuma identificação realizada
636,nan,Poste,,PXC,Nenhuma identificação realizada
637,nan,Mangueira,,N,Árvore de outra espécie
638,nan,Amendoeira,,Y,Árvore de outra espécie
639,nan,Palmeira,,PM,Palmeira
640,nan,Mangueira,,N,Árvore de outra espécie
641,Postes,Poste,PC,PC,Nenhuma identificação realizada
642,Folhas arredondadas,Amendoeira,Y,P,Amendoeira
643,nan,Mangueira,,Y,Árvore de outra espécie
644,nan,Amendoeira,,p,Árvore de outra espécie
645,nan,Palmeira,,Y,Palmeira
646,nan,Palmeira,,PM,Palmeira
647,nan,Palmeira,,N,Palmeira
648,Outras,Amendoeira,O,P,Árvore de outra espécie
649,Folhas arredondadas,Mangueira,N,P,Árvore de outra espécie
650,nan,Poste,,PC,Nenhuma identificação realizada
651,Postes,Poste,PC,PC,Nenhuma identificação realizada
652,Outras,Amendoeira,O,P,Árvore de outra espécie
653,nan,nan,,,Nenhuma identificação realizada
654,Palmeira,Palmeira,Y,Y,Palmeira
655,nan,Poste,,PC,Nenhuma identificação realizada
656,Postes,Poste,PC,PC,Nenhuma identificação realizada
657,nan,nan,,,Nenhuma identificação realizada
658,Postes,Palmeira,PC,PM,Nenhuma identificação realizada
659,nan,Poste,,PC,Nenhuma identificação realizada
660,Folhas arredondadas,Poste,N,PC,Nenhuma identificação realizada
661,nan,Palmeira,,PM,Palmeira
662,nan,Palmeira,,PM,Palmeira
663,nan,Amendoeira,,N,Árvore de outra espécie
664,nan,Mangueira,,Y,Árvore de outra espécie
665,Palmeira,Palmeira,Y,PM,Palmeira
666,Postes,Poste,PC,PC,Nenhuma identificação realizada
667,Postes,Palmeira,PC,PC,Nenhuma identificação realizada
668,nan,Poste,,PC,Nenhuma identificação realizada
669,nan,Poste,,PC,Nenhuma identificação realizada
670,Folhas arredondadas,Mangueira,P,P,Árvore de outra espécie
671,nan,Palmeira,,Y,Palmeira
672,Folhas arredondadas,Palmeira,N,N,Nenhuma identificação realizada
673,nan,Palmeira,,N,Palmeira
674,Postes,Palmeira,PC,N,Nenhuma identificação realizada
675,nan,Poste,,PC,Nenhuma identificação realizada
676,nan,nan,,,Nenhuma identificação realizada
677,nan,Mangueira,,N,Árvore de outra espécie
678,Postes,Poste,PC,PC,Nenhuma identificação realizada
679,Postes,Amendoeira,PC,Y,Amendoeira
680,Folhas arredondadas,Amendoeira,Y,Y,Amendoeira
681,nan,nan,,,Nenhuma identificação realizada
682,nan,Palmeira,,Y,Palmeira
683,nan,Mangueira,,N,Árvore de outra espécie
