,Rede1,Rede2,Confirmação rede 1,Confirmação rede 2,Resultado
1858,nan,Amendoeira,,P,Árvore de outra espécie
1859,nan,Palmeira,,Y,Palmeira
1860,Postes,Mangueira,PC,n,Mangueira
1861,nan,nan,,,Nenhuma identificação realizada
1862,nan,Amendoeira,,P,Árvore de outra espécie
1863,Postes,Mangueira,PC,P,Mangueira
1864,nan,Palmeira,,Y,Palmeira
1865,nan,Poste,,PC,Nenhuma identificação realizada
1866,nan,Poste,,PC,Nenhuma identificação realizada
1867,nan,nan,,,Nenhuma identificação realizada
1868,nan,Mangueira,,P,Árvore de outra espécie
1869,Folhas arredondadas,Mangueira,P,P,Árvore de outra espécie
1870,Postes,Mangueira,PC,P,Mangueira
1871,nan,nan,,,Nenhuma identificação realizada
1872,Folhas lineares,Amendoeira,Y,P,Árvore de outra espécie
1873,Folhas arredondadas,Amendoeira,Y,P,Amendoeira
1874,nan,Palmeira,,Y,Palmeira
1875,nan,nan,,,Nenhuma identificação realizada
1876,Folhas lineares,Amendoeira,Y,P,Árvore de outra espécie
1877,nan,Palmeira,,N,Palmeira
1878,Outras,Palmeira,O,P,Nenhuma identificação realizada
1879,nan,nan,,,Nenhuma identificação realizada
1880,nan,nan,,,Nenhuma identificação realizada
1881,Postes,Amendoeira,PC,P,Amendoeira
1882,Folhas arredondadas,Amendoeira,P,Y,Amendoeira
1883,nan,Mangueira,,N,Árvore de outra espécie
1884,nan,nan,,,Nenhuma identificação realizada
1885,Postes,Poste,PC,PC,Nenhuma identificação realizada
1886,Postes,Palmeira,PC,PM,Nenhuma identificação realizada
1887,Palmeira,Palmeira,Y,PM,Palmeira
1888,nan,Palmeira,,PM,Palmeira
1889,Postes,Amendoeira,PC,N,Amendoeira
1890,nan,Poste,,PC,Nenhuma identificação realizada
1891,nan,Cajueiro,,P,Árvore de outra espécie
1892,nan,Poste,,PC,Nenhuma identificação realizada
1893,Folhas lineares,Cajueiro,Y,P,Árvore de outra espécie
1894,nan,Mangueira,,P,Árvore de outra espécie
1895,nan,Poste,,PC,Nenhuma identificação realizada
1896,Folhas arredondadas,Cajueiro,Y,P,Cajueiro
1897,Folhas lineares,Palmeira,N,N,Nenhuma identificação realizada
1898,nan,nan,,,Nenhuma identificação realizada
1899,nan,Palmeira,,PC,Palmeira
1900,Outras,Mangueira,O,Y,Árvore de outra espécie
1901,nan,Mangueira,,P,Árvore de outra espécie
1902,Postes,Poste,PC,PC,Nenhuma identificação realizada
